Country;Liczba bitew
France;61
Italy;45
Germany;35
England;35
Netherlands;34
Scotland;29
Poland;24
Japan;22
Belgium;16
Spain;15
India;14
Czech Republic;11
Portugal;11
Ukraine;10
Serbia;8
Ethiopia;8
Hungary;7
Korea;7
Brazil;6
Peru;6
Ireland;6
Sweden;6
Romania;5
Russia;4
Switzerland;4
Belarus;4
Egypt;4
Latvia;4
Norway;3
Mexico;3
Croatia;3
Angola;3
Austria;2
Bulgaria;2
China;2
Cuba;2
Estonia;2
Iran;2
Finland;2
Ghana;2
Philippines;2
Syria;1
Tunisia;1
Turkey;1
Indonesia;1
Moldova;1
Lithuania;1
Malaysia;1
Denmark;1
Ecuador;1
Colombia;1
Albania;1
Australia;1
