Name;TotalStrength
Seven Years' War;1833500
French Revolutionary Wars;1198008
War of the Austrian Succession;1107280
Sengoku period;1040200
Ottoman wars in Europe;1039000
The Second Coalition;839598
War of the Spanish Succession;786200
Great Northern War;701841
Great Turkish War;625000
Thirty Years' War;521558
Hussite Wars;495350
Hundred Years' War;488450
Nine Years' War;477306
Japanese invasions of Korea;474600
Spanish conquest of the Aztec Empire;471100
Franco–Dutch War;455057
Eighty Years' War;391345
Moldavian–Ottoman Wars;354020
War of the League of Cambrai;344100
Khmelnytsky Uprising;273000
Ottoman–Habsburg wars;256300
American Revolutionary War;248656
Austro-Turkish War of 1716–18;225000
Wars of the Roses;221800
Qing conquest of the Ming;220000
Russo-Kazan Wars;190000
Ottoman-Mamluk War
(1516–1517);185000
List of Mongol and Tatar raids against Rus';180000
Moldavian Magnate Wars;178000
Byzantine–Ottoman Wars;177000
English Civil War;176600
Anglo-Russian Invasion of Holland;162100
Italian War of 1551–1559;157500
Russo–Turkish War of 1735–1739
Austro–Turkish War of 1737–1739;151000
The First Castilian Civil War;148000
Ottoman–Hungarian Wars;148000
Long War
Fifteen Years' War of Hungary;145000
Abyssinian– Adal war;142433
War of the First Coalition;142000
French Revolution;129400
Polish–Russian War of 1605–1618;126650
War of the Polish Succession;126000
Egyptian Campaign;123700
Spanish conquest of the Inca Empire;119798
Kościuszko Uprising;118000
Ottoman–Persian Wars;110000
United Irishmen Rebellion (1798);105452
Polish–Ottoman War (1485–1503);105000
Burgundian Wars;102000
Second Northern War;101510
Moroccan–Portuguese conflicts;98000
Williamite–Jacobite War in Ireland;97500
Scanian War;92500
Russo-Polish War (1654–1667);91500
Italian War of 1521–26;89500
Crusade of Varna;88000
Ottoman–Safavid War of 1578–1590;82000
Muscovite–Lithuanian Wars;80000
French and Indian War;76666
Anglo-Scottish Wars;76100
Nanboku-chō period;75000
Third Ottoman–Venetian War;72000
Italian War of 1542–46;71850
Portuguese Restoration War;70600
Polish–Ottoman Wars;65000
Polish–Swedish War;64400
Dutch-Portuguese War;61025
Wars of the Three Kingdoms;60219
War of the Pyrenees;60000
Polish–Lithuanian–Teutonic War;52500
Russo-Persian Wars;50000
Mughal Empire;50000
Scotland in the Wars of the Three Kingdoms;47000
Irish Confederate Wars or
Eleven Years' War;46100
Reconquista;45000
1383–1385 Crisis;44800
Schmalkaldic War;44500
Persian Empire;42500
Thirteen Years' War (1454–66);40700
Franco-Flemish War;40700
First Italian War;40000
Battle of Posada;40000
Guelphs and Ghibellines;39000
Bruce campaign in Ireland;38000
Second Italian War;38000
The forty-five rebellion;34800
Second War of Scottish Independence;34250
First War of Scottish Independence;33630
Austro–Turkish War of 1663–64;33500
Second English Civil War;33500
Glyndŵr Rising;33350
War of Jenkins' Ear;32500
Fourth Ottoman–Venetian War;31000
Byzantine civil war of 1341–1347;29900
Franco–Spanish War;29000
French Wars of Religion;27000
Sino-Dutch conflicts;26900
Polish–Ottoman War (1672–1676);26000
Polish–Russian War of 1792;26000
Wars in Lombardy;26000
War of the League of Cognac;25500
Wars of Liège;25000
Danzig rebellion;24500
War of the Portuguese Succession;23300
The Jacobite Rising of 1715;22450
Anglo–Spanish War (1762–1763);19300
Anglo-Spanish War;19000
War of the Castilian Succession;17000
Dano-Swedish War;16000
Peasant revolt in Flanders 1323–28;15000
Growth of the Old Swiss Confederacy;14900
War against Sigismund;14200
German Peasants' War;14000
The Deluge;12000
Marian Civil War;10000
War of the Breton Succession;8240
Second Anglo–Mysore War;8000
Siege of Osaka;8000
Despenser War;8000
Monmouth Rebellion;7000
Loire Campaign;6500
Jacquerie;6500
American Civil War;5600
Polish–Swedish wars;5100
War of the Regulation;3000
Spanish colonization of the Americas;2500
King Philip's War;2150
Northwest Indian War;2100
Turkmen invasions of Georgia;2000
Brabant Revolution;2000
Jacobite risings;1850
Apache-Mexico Wars;1557
Second Anglo-Dutch War;1500
Russo-Turkish War (1768–1774);1300
Portuguese–Mamluk naval war;1300
King William's War;990
Glorious Revolution;850
Kalmar War;800
Scottish clan;800
Fourth Anglo-Dutch War;450
Lord Dunmore's War;400
Pontiac's War
Pontiac's Rebellion;300
Queen Anne's War;170
Hawkesbury and Nepean Wars;118
List of Serbian–Turkish conflicts;0
Italian Wars;0
First Anglo-Dutch War;0
Frankokratia;0
Edo period;0
Battles involving the Maratha Empire;0
Ahom–Mughal conflicts;0
Ottoman Empire;0
Peasants' Revolt;0
Owain Glyndŵr;0
Second Ottoman–Venetian War;0
Timurid Civil Wars;0
Travancore–Dutch War;0
