Name;Wins;AllBattles;Ratio
France;27;37;0.7297297297297297297
Canada (New France);10;15;0.6666666666666666666
French First Republic;30;46;0.6521739130434782608
Swedish Empire;19;31;0.6129032258064516129
House of York;11;18;0.6111111111111111111
Habsburg Spain;9;15;0.6000000000000000000
Polish–Lithuanian Commonwealth;18;30;0.6000000000000000000
Enlightenment in Spain;7;14;0.5000000000000000000
Adal Sultanate;5;10;0.5000000000000000000
Russian Empire;11;22;0.5000000000000000000
Kingdom of Prussia;26;55;0.4727272727272727272
Portuguese Empire;8;17;0.4705882352941176470
Spanish Empire;13;28;0.4642857142857142857
Kingdom of France;74;160;0.4625000000000000000
Moldavia;5;11;0.4545454545454545454
Ottoman Empire;33;79;0.4177215189873417721
Crown of Castile;5;12;0.4166666666666666666
Sweden;10;24;0.4166666666666666666
Portugal;9;22;0.4090909090909090909
Takeda Shingen;5;13;0.3846153846153846153
Spain;31;83;0.3734939759036144578
Dutch Republic;36;100;0.3600000000000000000
Kingdom of Portugal;5;14;0.3571428571428571428
England;6;17;0.3529411764705882352
House of Lancaster;6;18;0.3333333333333333333
Roundhead;4;12;0.3333333333333333333
Kingdom of England;30;91;0.3296703296703296703
Kingdom of Hungary;4;13;0.3076923076923076923
Oda Nobunaga;7;23;0.3043478260869565217
British Army;5;17;0.2941176470588235294
Kingdom of Scotland;8;28;0.2857142857142857142
Toyotomi Hideyoshi;3;14;0.2142857142857142857
Wallachia;2;10;0.2000000000000000000
Holy Roman Empire;11;71;0.1549295774647887323
Papal States;2;14;0.1428571428571428571
Electorate of Saxony;2;16;0.1250000000000000000
Tsardom of Russia;2;18;0.1111111111111111111
Kingdom of Sardinia;1;10;0.1000000000000000000
Republic of Venice;2;21;0.0952380952380952380
Denmark–Norway;1;11;0.0909090909090909090
Electorate of Brunswick-Lüneburg;1;12;0.0833333333333333333
United States;4;50;0.0800000000000000000
Kingdom of Great Britain;12;163;0.0736196319018404907
Habsburg Monarchy;4;85;0.0470588235294117647
