Name;Wins;AllBattles;Ratio
French First Republic;30;32;0.9375000000000000000
France;27;29;0.9310344827586206896
Canada (New France);10;12;0.8333333333333333333
Habsburg Spain;9;11;0.8181818181818181818
Swedish Empire;19;24;0.7916666666666666666
Kingdom of Prussia;26;33;0.7878787878787878787
Polish–Lithuanian Commonwealth;18;25;0.7200000000000000000
Sweden;10;14;0.7142857142857142857
Kingdom of France;74;105;0.7047619047619047619
House of York;11;17;0.6470588235294117647
Russian Empire;11;17;0.6470588235294117647
Spanish Empire;13;21;0.6190476190476190476
Ottoman Empire;33;64;0.5156250000000000000
Moldavia;5;10;0.5000000000000000000
Portugal;9;18;0.5000000000000000000
Adal Sultanate;5;10;0.5000000000000000000
Dutch Republic;36;73;0.4931506849315068493
Spain;31;63;0.4920634920634920634
Portuguese Empire;8;17;0.4705882352941176470
Oda Nobunaga;7;16;0.4375000000000000000
Kingdom of England;30;71;0.4225352112676056338
House of Lancaster;6;17;0.3529411764705882352
Kingdom of Scotland;8;23;0.3478260869565217391
Kingdom of Hungary;4;12;0.3333333333333333333
Holy Roman Empire;11;44;0.2500000000000000000
Kingdom of Great Britain;12;54;0.2222222222222222222
Papal States;2;10;0.2000000000000000000
Tsardom of Russia;2;12;0.1666666666666666666
Electorate of Saxony;2;12;0.1666666666666666666
Republic of Venice;2;15;0.1333333333333333333
Habsburg Monarchy;4;57;0.0701754385964912280
