France;222
Great Britain;163
Spain;124
England;110
The Netherlands;105
Austria;80
Ottoman Empire;73
Holy Roman Empire;70
United States;49
Sweden;49
Poland;47
Russia;44
Portugal;41
Prussia;38
Scotland;33
Oda Nobunaga;23
Republic of Venice;21
Hungary;19
Denmark;19
House of Lancaster;18
House of York;18
Electorate of Saxony;16
Cavalier;16
Society of United Irishmen;16
Canada;15
Toyotomi Hideyoshi;14
Papal States;14
Takeda Shingen;13
Roundhead;12
Serbia;12
Landgraviate of Hesse-Kassel;12
Electorate of Brunswick-Lüneburg;12
Japan;12
Czech Republic;11
Moldavia;11
Adal Sultanate;10
Ireland;10
Kingdom of Sardinia;10
Joseon;10
Jacobitism;9
Duchy of Milan;9
Duchy of Burgundy;9
Catholic League (German);9
Wallachia;9
Ming dynasty;8
Republic of Florence;8
Republic of Genoa;8
Crimean Khanate;8
Duchy of Brunswick-Lüneburg;8
Electorate of Bavaria;8
Hussite;7
Huguenot;7
Old Swiss Confederacy;7
Tokugawa Ieyasu;7
Thirteen Colonies;6
Mōri clan;6
Mughal Empire;6
Ikkō-ikki;6
Iroquois;6
Ethiopian Empire;6
Catholicism;6
Batavian Republic;6
Bavaria;6
Byzantine Empire;5
British America;5
Clan Mackay;5
County of Flanders;5
East India Company;5
Duchy of Savoy;5
Dutch East India Company;5
Irish expedition to Scotland;5
Late Hōjō clan;5
Korea;5
Lithuania;5
Province of Quebec (1763–91);5
Takeda family forces;5
Takeda forces;5
Teutonic Order;5
Uesugi forces;5
Waldeck (state);4
Unterwalden;4
Royalists;4
Scots Covenanters;4
Safavid dynasty;4
Loyalist (American Revolution);4
Knights Hospitaller;4
Majorca;4
Mamluk Sultanate (Cairo);4
Inca Empire;4
History of Malta under the Order of Saint John;4
Hōjō Ujiyasu;4
Duchy of Brittany;4
Electoral Palatinate;4
Croatia;4
Crown of Aragon;4
Clan Sutherland;4
Confederate Ireland;4
Canton of Uri;4
Aydınids;3
Apache;3
Akechi Mitsuhide;3
 House of Blois;3
 House of Montfort;3
Clan Mackintosh;3
Clan Cameron;3
Canton of Lucerne;3
Canton of Schwyz;3
Charles V, Holy Roman Emperor;3
Charles VI, Holy Roman Emperor;3
Emirate of Granada;3
Covenanter;3
Dutch Rebels;3
Hessian (soldier);3
Joseon Navy;3
New Model Army;3
Protestant Union;3
Province of Massachusetts Bay;3
Parliament of England;3
Prince-Bishopric of Münster;3
Patriot (American Revolution);3
Takeda Katsuyori;3
Tokugawa shogunate;3
Toyotomi clan;3
Uesugi Clan;3
Wales;2
Takeda clan;2
Timurid dynasty;2
Tlaxcala (Nahua state);2
Supported by;2
Suwa Yorishige;2
State of the Teutonic Order;2
Shawnee;2
Zaporozhian Cossacks;2
Western Confederacy;2
Ogasawara Nagatoki;2
Principality of Transylvania (1570–1711);2
Principality of Brunswick-Wolfenbüttel;2
Republic of Pisa;2
Republic of Ragusa;2
Republic of Siena;2
Rohilla;2
Prussian Confederation;2
Qajar dynasty;2
Oda clan;2
Nawab of Awadh;2
Milan;2
Military history of the Acadians;2
Murakami Yoshikiyo;2
Landgraviate of Hesse;2
Marinid dynasty;2
Kingdom of Ndongo;2
Kingdom of Sicily;2
Kingdom of Kongo;2
Kingdom of Mysore;2
Kingdom of Naples;2
Hordes of the Jochid Ulus;2
Hesse;2
Indigenous peoples of the Americas;2
Imagawa Yoshimoto;2
Iberian Union;2
Duchy of Courland and Semigallia;2
Duchy of Ferrara;2
Duchy of Gascony;2
Ethiopia;2
English Parliamentarians;2
Electorate of Cologne;2
French East India Company;2
Gascony;2
Golden Horde;2
Guelders;2
Hanseatic League;2
Chattan Confederation;2
Catholic Church;2
Catholics;2
Clan Mackenzie;2
Clan Macdonald of Clanranald;2
Clan Donald;2
Clan Forbes;2
Clan Gordon;2
Clan Grant;2
Clan Maclean;2
Clan MacLeod of Lewis;2
Clan MacNeil;2
Clan Munro;2
Connecticut Colony;2
Colonial Brazil;2
Colony of Virginia;2
Corsican Republic;2
1st Canadian Regiment;2
 Covenanter rebels;2
2nd Canadian Regiment;2
Army of the Holy Roman Empire;2
Asakura Yoshikage;2
Ashikaga shogunate;2
Azai Nagamasa;2
Aztec Empire;2
Canton of Zug;2
Brittany;2
Bologna;2
Bosnia;2
Bosnia Eyalet;1
Brabant Revolution;1
Bremen;1
Bruce loyalists;1
Burgundians, Byzantines;1
Canton of Zürich;1
Catalan Company;1
 Arumer Zwarte Hoop;1
Canadian Militia;1
Baden;1
Baronial forces;1
Bergenhus Fortress;1
Bessho Nagaharu;1
Bishop of Norwich;1
Bishopric of Halberstadt;1
Asti;1
Azai clan;1
Ashikaga rebels;1
Araki Murashige;1
Army of False Dmitry I;1
Aberdonian Gentry (Lowland clans);1
Aceh Sultanate;1
Ag Qoyunlu;1
Ahom kingdom;1
Albanians;1
Alexander of Islay, Earl of Ross;1
