1;County of Flanders;http://en.wikipedia.org/wiki/County_of_Flanders
2;Kingdom of France;http://en.wikipedia.org/wiki/Kingdom_of_France
3;Byzantine Empire;http://en.wikipedia.org/wiki/Byzantine_Empire
4;Ottoman Empire;http://en.wikipedia.org/wiki/Ottoman_Empire
5;Kingdom of Scotland;http://en.wikipedia.org/wiki/Kingdom_of_Scotland
6;Kingdom of England;http://en.wikipedia.org/wiki/Kingdom_of_England
7;Catalan Company;http://en.wikipedia.org/wiki/Catalan_Company
8;Duchy of Athens;http://en.wikipedia.org/wiki/Duchy_of_Athens
9;Bavaria;NULL
10;Austria;NULL
11;Republic of Pisa;http://en.wikipedia.org/wiki/Republic_of_Pisa
12;Republic of Florence;http://en.wikipedia.org/wiki/Republic_of_Florence
13;Canton of Uri;http://en.wikipedia.org/wiki/Canton_of_Uri
14;Duchy of Austria;http://en.wikipedia.org/wiki/Duchy_of_Austria
15;Kingdom of Majorca;http://en.wikipedia.org/wiki/Kingdom_of_Majorca
16;Principality of Achaea;http://en.wikipedia.org/wiki/Principality_of_Achaea
17;Burgundians, Byzantines;NULL
18;Majorcans;NULL
19;Uí Maine;http://en.wikipedia.org/wiki/U%C3%AD_Maine
20;Lordship of Ireland;http://en.wikipedia.org/wiki/Lordship_of_Ireland
21;O'Dea;http://en.wikipedia.org/wiki/O%27Dea
22;O'Brien dynasty;http://en.wikipedia.org/wiki/O%27Brien_dynasty
23;Clann Ó hEithir;NULL
24;Knights Hospitaller;http://en.wikipedia.org/wiki/Knights_Hospitaller
25;Lordship of Chios;http://en.wikipedia.org/wiki/Lordship_of_Chios
26;Aydinids;NULL
27;Dalmatia;http://en.wikipedia.org/wiki/Dalmatia
28;Mladen II Šubić of Bribir;http://en.wikipedia.org/wiki/Mladen_II_%C5%A0ubi%C4%87_of_Bribir
29;Royalists;NULL
30;Lancastrians;NULL
31;Royal forces;NULL
32;Baronial forces;NULL
33;History of Bavaria;http://en.wikipedia.org/wiki/History_of_Bavaria
34;Archduchy of Austria;http://en.wikipedia.org/wiki/Archduchy_of_Austria
35;Modena;http://en.wikipedia.org/wiki/Modena
36;Bologna;http://en.wikipedia.org/wiki/Bologna
37;Flemish peasants;NULL
38;France in the Middle Ages;http://en.wikipedia.org/wiki/France_in_the_Middle_Ages
39;Geoghegan;http://en.wikipedia.org/wiki/Geoghegan
40;Kingdom of Hungary;http://en.wikipedia.org/wiki/Kingdom_of_Hungary
41;Wallachia;http://en.wikipedia.org/wiki/Wallachia
42;Bruce loyalists;NULL
43;Edward Balliol;http://en.wikipedia.org/wiki/Edward_Balliol
44;Kingdom of Poland;NULL
45;Teutonic Order;http://en.wikipedia.org/wiki/Teutonic_Order
46;Ashikaga rebels;NULL
47;Japanese imperial forces;NULL
48;Ashikaga shogunate;http://en.wikipedia.org/wiki/Ashikaga_shogunate
49;Nitta family;NULL
50;Lodrisio Visconti;http://en.wikipedia.org/wiki/Lodrisio_Visconti
51;Compagnia di San Giorgio;http://en.wikipedia.org/wiki/Compagnia_di_San_Giorgio
52;Milan;http://en.wikipedia.org/wiki/Milan
53;Kingdom of Castile;http://en.wikipedia.org/wiki/Kingdom_of_Castile
54;Kingdom of Portugal;http://en.wikipedia.org/wiki/Kingdom_of_Portugal
55;Marinid dynasty;http://en.wikipedia.org/wiki/Marinid_dynasty
56;Emirate of Granada;http://en.wikipedia.org/wiki/Emirate_of_Granada
57; House of Blois;NULL
58;France;http://en.wikipedia.org/wiki/France
59; House of Montfort;NULL
60;England;http://en.wikipedia.org/wiki/England
61;Republic of Genoa;http://en.wikipedia.org/wiki/Republic_of_Genoa
62;Serbian Empire;http://en.wikipedia.org/wiki/Serbian_Empire
63;Kingdom of Naples;http://en.wikipedia.org/wiki/Kingdom_of_Naples
64;and Angevin lands;NULL
65;March of Montferrat;http://en.wikipedia.org/wiki/March_of_Montferrat
66;Asti;http://en.wikipedia.org/wiki/Asti
67;Pavia;http://en.wikipedia.org/wiki/Pavia
68;Momchil;http://en.wikipedia.org/wiki/Momchil
69;John VI Kantakouzenos;http://en.wikipedia.org/wiki/John_VI_Kantakouzenos
70;Holland;http://en.wikipedia.org/wiki/Holland
71;Frisia;http://en.wikipedia.org/wiki/Frisia
72;Holy Roman Empire;http://en.wikipedia.org/wiki/Holy_Roman_Empire
73; House of Montfort (England);NULL
74; House of Blois (France);NULL
75;Gascony;http://en.wikipedia.org/wiki/Gascony
76;English forces;NULL
77;French forces;NULL
78;Duchy of Gascony;http://en.wikipedia.org/wiki/Duchy_of_Gascony
79;Noble coalition;NULL
80;Peasant Jacques army;NULL
81;Denmark;http://en.wikipedia.org/wiki/Denmark
82;Gotland;http://en.wikipedia.org/wiki/Gotland
83;Hanseatic League;http://en.wikipedia.org/wiki/Hanseatic_League
84;Duchy of Burgundy;http://en.wikipedia.org/wiki/Duchy_of_Burgundy
85;Kingdom of Navarre;http://en.wikipedia.org/wiki/Kingdom_of_Navarre
86;Brittany;http://en.wikipedia.org/wiki/Brittany
87;Duke of Aquitaine;http://en.wikipedia.org/wiki/Duke_of_Aquitaine
88;Crown of Castile;http://en.wikipedia.org/wiki/Crown_of_Castile
89;Duchy of Jülich;http://en.wikipedia.org/wiki/Duchy_of_J%C3%BClich
90;Duchy of Brabant;http://en.wikipedia.org/wiki/Duchy_of_Brabant
91;County of Namur;http://en.wikipedia.org/wiki/County_of_Namur
92;Papal States;http://en.wikipedia.org/wiki/Papal_States
93;Republic of Siena;http://en.wikipedia.org/wiki/Republic_of_Siena
94;Russian Forces;NULL
95;Blue Horde;NULL
96;Serbia;http://en.wikipedia.org/wiki/Serbia
97;Grand Duchy of Moscow;http://en.wikipedia.org/wiki/Grand_Duchy_of_Moscow
98;Bishop of Norwich;http://en.wikipedia.org/wiki/Bishop_of_Norwich
99;Norfolk;http://en.wikipedia.org/wiki/Norfolk
100;Ghent;http://en.wikipedia.org/wiki/Ghent
101;Kingdom of Uí Failghe;http://en.wikipedia.org/wiki/Kingdom_of_U%C3%AD_Failghe
102;United States;http://en.wikipedia.org/wiki/United_States
103;Confederate States of America;http://en.wikipedia.org/wiki/Confederate_States_of_America
104;Zeta under the Balšići;http://en.wikipedia.org/wiki/Zeta_under_the_Bal%C5%A1i%C4%87i
105;Old Swiss Confederacy;http://en.wikipedia.org/wiki/Old_Swiss_Confederacy
106;Moravian Serbia;http://en.wikipedia.org/wiki/Moravian_Serbia
107;Province of Verona;http://en.wikipedia.org/wiki/Province_of_Verona
108;Province of Padua;http://en.wikipedia.org/wiki/Province_of_Padua
109; Bosnian Kingdom;NULL
110;Leinster;NULL
111;Chattan Confederation;http://en.wikipedia.org/wiki/Chattan_Confederation
112;"Clan Kay" (Camerons or Davidsons?);NULL
113;Republic of Venice;http://en.wikipedia.org/wiki/Republic_of_Venice
114;Second Bulgarian Empire;http://en.wikipedia.org/wiki/Second_Bulgarian_Empire
115;Golden Horde;http://en.wikipedia.org/wiki/Golden_Horde
116;Grand Duchy of Lithuania;http://en.wikipedia.org/wiki/Grand_Duchy_of_Lithuania
117;Tokhtamysh forces;NULL
118;Welsh rebel forces;NULL
119;English and Flemish settlers;NULL
120;Duchy of Milan;http://en.wikipedia.org/wiki/Duchy_of_Milan
121;Wales;http://en.wikipedia.org/wiki/Wales
122; Timurid Empire;NULL
123;Dhimitër Jonima;http://en.wikipedia.org/wiki/Dhimit%C3%ABr_Jonima
124;Principality of Dukagjini;http://en.wikipedia.org/wiki/Principality_of_Dukagjini
125;Serbian Despotate;http://en.wikipedia.org/wiki/Serbian_Despotate
126; Rebel forces;NULL
127;Clan Mackay;http://en.wikipedia.org/wiki/Clan_Mackay
128;Clan Sutherland;http://en.wikipedia.org/wiki/Clan_Sutherland
129;Clan MacLeod of Lewis;http://en.wikipedia.org/wiki/Clan_MacLeod_of_Lewis
130;Royalist forces;NULL
131;Percy Faction;NULL
132;Kingdom of Sicily;http://en.wikipedia.org/wiki/Kingdom_of_Sicily
133;Crown of Aragon;http://en.wikipedia.org/wiki/Crown_of_Aragon
134;Giudicato of Arborea;http://en.wikipedia.org/wiki/Giudicato_of_Arborea
135;Eastern Mongols;NULL
136;Ming Dynasty;NULL
137;State of the Teutonic Order;http://en.wikipedia.org/wiki/State_of_the_Teutonic_Order
138;Poland;http://en.wikipedia.org/wiki/Poland
139;Czech Republic;http://en.wikipedia.org/wiki/Czech_Republic
140;Silesia;http://en.wikipedia.org/wiki/Silesia
141;Aberdonian Gentry (Lowland clans);NULL
142;Robert Stewart, Duke of Albany;http://en.wikipedia.org/wiki/Robert_Stewart,_Duke_of_Albany
143;Lord of the Isles;http://en.wikipedia.org/wiki/Lord_of_the_Isles
144;Kara Koyunlu;http://en.wikipedia.org/wiki/Kara_Koyunlu
145;Kingdom of Georgia;http://en.wikipedia.org/wiki/Kingdom_of_Georgia
146;Shirvanshah;http://en.wikipedia.org/wiki/Shirvanshah
147;Hussites;NULL
148;Catholics;NULL
149;Hussites;http://en.wikipedia.org/wiki/Hussites
150;Hungary;http://en.wikipedia.org/wiki/Hungary
151;Unterwalden;http://en.wikipedia.org/wiki/Unterwalden
152;Canton of Lucerne;http://en.wikipedia.org/wiki/Canton_of_Lucerne
153;Canton of Zug;http://en.wikipedia.org/wiki/Canton_of_Zug
154;Taborites;NULL
155;Utraquists;NULL
156;Duchy of Brittany;http://en.wikipedia.org/wiki/Duchy_of_Brittany
157;French;NULL
158;Anjou;http://en.wikipedia.org/wiki/Anjou
159; English;NULL
160;Jaqueline, Countess of Hainaut, Holland and Zeeland;NULL
161;Philip, Duke of Burgundy;NULL
162; French forces;NULL
163;Roman Catholic crusaders;NULL
164;Alexander of Islay, Earl of Ross;http://en.wikipedia.org/wiki/Alexander_of_Islay,_Earl_of_Ross
165;Clan Donald;http://en.wikipedia.org/wiki/Clan_Donald
166;James I of Scotland;http://en.wikipedia.org/wiki/James_I_of_Scotland
167;Taborites and Orphans;NULL
168;Utraquism;http://en.wikipedia.org/wiki/Utraquism
169;Republic of Ragusa;http://en.wikipedia.org/wiki/Republic_of_Ragusa
170;Kingdom of Poland (1385–1569);http://en.wikipedia.org/wiki/Kingdom_of_Poland_(1385%E2%80%931569)
171;Moldavia;http://en.wikipedia.org/wiki/Moldavia
172;Uprising of Konstantin and Fruzhin;http://en.wikipedia.org/wiki/Uprising_of_Konstantin_and_Fruzhin
173;Ethiopia;http://en.wikipedia.org/wiki/Ethiopia
174;Adal Sultanate;http://en.wikipedia.org/wiki/Adal_Sultanate
175;Mughal Empire;http://en.wikipedia.org/wiki/Mughal_Empire
176;Portugal;http://en.wikipedia.org/wiki/Portugal
177;Duke of Coimbra;http://en.wikipedia.org/wiki/Duke_of_Coimbra
178;Mongols;NULL
179;Prussian Confederation;http://en.wikipedia.org/wiki/Prussian_Confederation
180;James II of Scotland;http://en.wikipedia.org/wiki/James_II_of_Scotland
181;Earl of Douglas;http://en.wikipedia.org/wiki/Earl_of_Douglas
182;House of York;http://en.wikipedia.org/wiki/House_of_York
183;House of Lancaster;http://en.wikipedia.org/wiki/House_of_Lancaster
184;Crusades;http://en.wikipedia.org/wiki/Crusades
185;Prince-Bishopric of Liège;http://en.wikipedia.org/wiki/Prince-Bishopric_of_Li%C3%A8ge
186;Sweden;http://en.wikipedia.org/wiki/Sweden
187;Aq Qoyunlu;http://en.wikipedia.org/wiki/Aq_Qoyunlu
188;Electorate of Cologne;http://en.wikipedia.org/wiki/Electorate_of_Cologne
189;Guelders;http://en.wikipedia.org/wiki/Guelders
190;Duchy of Cleves;http://en.wikipedia.org/wiki/Duchy_of_Cleves
191;Duchy of Savoy;http://en.wikipedia.org/wiki/Duchy_of_Savoy
192;Army of the Holy Roman Empire;http://en.wikipedia.org/wiki/Army_of_the_Holy_Roman_Empire
193;Lorraine (region);http://en.wikipedia.org/wiki/Lorraine_(region)
194;Clan MacNeil;http://en.wikipedia.org/wiki/Clan_MacNeil
195;Clan MacLeod;http://en.wikipedia.org/wiki/Clan_MacLeod
196;Clan MacDonald of Keppoch;http://en.wikipedia.org/wiki/Clan_MacDonald_of_Keppoch
197;Scottish Rebels (with English support);NULL
198; Scottish Royalist forces;NULL
199;Clan Ross;http://en.wikipedia.org/wiki/Clan_Ross
200;Rebels;NULL
201;Catholic Monarchs;http://en.wikipedia.org/wiki/Catholic_Monarchs
202;Croatia in the union with Hungary;http://en.wikipedia.org/wiki/Croatia_in_the_union_with_Hungary
203;History of Moldova;http://en.wikipedia.org/wiki/History_of_Moldova
204;Clan Mackenzie;http://en.wikipedia.org/wiki/Clan_Mackenzie
205;Clan Munro;http://en.wikipedia.org/wiki/Clan_Munro
206;James IV of Scotland;http://en.wikipedia.org/wiki/James_IV_of_Scotland
207;Clan MacDonald of Lochalsh;http://en.wikipedia.org/wiki/Clan_MacDonald_of_Lochalsh
208;Domhnall Dubh;http://en.wikipedia.org/wiki/Domhnall_Dubh
209;Dithmarschen;http://en.wikipedia.org/wiki/Dithmarschen
210;Kalmar Union;http://en.wikipedia.org/wiki/Kalmar_Union
211;Spain;http://en.wikipedia.org/wiki/Spain
212;Portuguese Empire;http://en.wikipedia.org/wiki/Portuguese_Empire
213;Gujarat Sultanate;http://en.wikipedia.org/wiki/Gujarat_Sultanate
214;Mamluk Sultanate (Cairo);http://en.wikipedia.org/wiki/Mamluk_Sultanate_(Cairo)
215;Military of the Ottoman Empire;http://en.wikipedia.org/wiki/Military_of_the_Ottoman_Empire
216;Duchy of Ferrara;http://en.wikipedia.org/wiki/Duchy_of_Ferrara
217;Safavid dynasty;http://en.wikipedia.org/wiki/Safavid_dynasty
218;Seventeen Provinces;http://en.wikipedia.org/wiki/Seventeen_Provinces
219;Charles II, Duke of Guelders;http://en.wikipedia.org/wiki/Charles_II,_Duke_of_Guelders
220;Duchy of Urbino;http://en.wikipedia.org/wiki/Duchy_of_Urbino
221;Miura clan;http://en.wikipedia.org/wiki/Miura_clan
222;forces of Hōjō Soun;NULL
223;Spanish Empire;http://en.wikipedia.org/wiki/Spanish_Empire
224;Tlaxcala (Nahua state);http://en.wikipedia.org/wiki/Tlaxcala_(Nahua_state)
225;Aztec Empire;http://en.wikipedia.org/wiki/Aztec_Empire
226;Late Hōjō clan;http://en.wikipedia.org/wiki/Late_H%C5%8Dj%C5%8D_clan
227;Uesugi Clan;NULL
228;Quito;http://en.wikipedia.org/wiki/Quito
229;Landgraviate of Hesse;http://en.wikipedia.org/wiki/Landgraviate_of_Hesse
230;Electorate of Saxony;http://en.wikipedia.org/wiki/Electorate_of_Saxony
231;Peasants' army;NULL
232;Charles V, Holy Roman Emperor;http://en.wikipedia.org/wiki/Charles_V,_Holy_Roman_Emperor
233;Lodi dynasty;http://en.wikipedia.org/wiki/Lodi_dynasty
234;Uesugi clan;http://en.wikipedia.org/wiki/Uesugi_clan
235;Ethiopian Empire;http://en.wikipedia.org/wiki/Ethiopian_Empire
236;Kingdom of Bohemia;http://en.wikipedia.org/wiki/Kingdom_of_Bohemia
237;Florence;http://en.wikipedia.org/wiki/Florence
238;Puná natives;NULL
239;Canton of Zürich;http://en.wikipedia.org/wiki/Canton_of_Z%C3%BCrich
240;Inca Empire;http://en.wikipedia.org/wiki/Inca_Empire
241;Hiraga Genshin;http://en.wikipedia.org/wiki/Hiraga_Genshin
242;Takeda clan;http://en.wikipedia.org/wiki/Takeda_clan
243;Indian auxiliaries;http://en.wikipedia.org/wiki/Indian_auxiliaries
244;Governorate of New Castile;http://en.wikipedia.org/wiki/Governorate_of_New_Castile
245;Governorate of New Toledo;http://en.wikipedia.org/wiki/Governorate_of_New_Toledo
246;Holy League (1538);http://en.wikipedia.org/wiki/Holy_League_(1538)
247;Habsburg Spain;http://en.wikipedia.org/wiki/Habsburg_Spain
248;Mississippian culture;http://en.wikipedia.org/wiki/Mississippian_culture
249;Takeda Shingen;http://en.wikipedia.org/wiki/Takeda_Shingen
250;combined forces of Shinano daimyō;NULL
251;Imagawa Yoshimoto;http://en.wikipedia.org/wiki/Imagawa_Yoshimoto
252;Oda clan;http://en.wikipedia.org/wiki/Oda_clan
253;Forces of Suwa Yorishige;NULL
254;Takeda family forces;NULL
255;Suwa Yorishige;http://en.wikipedia.org/wiki/Suwa_Yorishige
256;Forces of Tozawa Yorichika;NULL
257;Earl of Sutherland;http://en.wikipedia.org/wiki/Earl_of_Sutherland
258;Forces of Oi Sadataka;NULL
259;forces of Tozawa family;NULL
260;Clan Fraser of Lovat;http://en.wikipedia.org/wiki/Clan_Fraser_of_Lovat
261;Clan Grant;http://en.wikipedia.org/wiki/Clan_Grant
262;Clan MacDonald of Clanranald;NULL
263;Clan Cameron;http://en.wikipedia.org/wiki/Clan_Cameron
264;forces of Takatō Yoritsugu;NULL
265;Forces loyal to Tozawa Yorichika;NULL
266; France;NULL
267;and others;NULL
268;Bremen;http://en.wikipedia.org/wiki/Bremen
269;Lübeck;http://en.wikipedia.org/wiki/L%C3%BCbeck
270;Schmalkaldic League;http://en.wikipedia.org/wiki/Schmalkaldic_League
271;Murakami Yoshikiyo;http://en.wikipedia.org/wiki/Murakami_Yoshikiyo
272;Ogasawara Nagatoki;http://en.wikipedia.org/wiki/Ogasawara_Nagatoki
273;Sovereign Military Order of Malta;http://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta
274;forces of Takeda family;NULL
275;Tsardom of Russia;http://en.wikipedia.org/wiki/Tsardom_of_Russia
276;Qasim Khanate;http://en.wikipedia.org/wiki/Qasim_Khanate
