Name;Year;TotalStrength
Tumu Crisis;1449;520000
Siege of Tenochtitlan;1521;400100
Siege of Odawara;1590;302000
Pruth Campaign;1710;288000
Battle of Vienna;1683;285000
Battle of Berestechko;1651;273000
Battle of Petrovaradin;1716;225000
Battle of Sarhu;1619;220000
Siege of Rhodes;1522;207500
Battle of Rocoux;1746;205000
Battle of Vaslui
Bătălia de la Vaslui;1475;204020
Siege of Szigetvár
Battle of Szigeth;1566;202500
Battle of Sprimont;1794;199000
Battle of Warburg;1760;192000
Siege of Kazan;1552;190000
Battle of Molodi;1572;185000
Battle of Sekigahara;1600;180000
Battle of Kulikovo;1380;180000
Battle of Khotyn;1621;178000
Battle of Cahul;1770;178000
Third Battle of Panipat;1761;169000
Battle of La Brossinière;1423;166000
Fall of Constantinople;1453;162000
Battle of Malplaquet;1709;161000
Battle of Steenkerque;1692;160000
Battle of Stockach and Engen (1800);1800;156000
Battle of Villinghausen;1761;155000
Battle of Fleurus;1794;152500
Battle of Stavuchany;1737;151000
Second Battle of Zurich;1799;151000
Battle of Valea Albă/Războieni/Akdere;1476;150000
Battle of Domažlice;1431;150000
Battle of Nájera (Navarrete);1367;148000
Battle of Marj Dabiq;1516;145000
Battle of Keresztes;1596;145000
Battle of Tourcoing;1794;144000
Battle of Grocka;1739;140000
Battle of Zenta
(Battle of Senta);1697;140000
Battle of Lauffeld;1747;140000
Siege of Vienna;1529;139000
Battle of Landen;1693;130000
Battle of Slankamen;1691;130000
Battle of the Vorskla River;1399;128000
Battle of Prague;1757;127000
Siege of Namur (1692);1692;126000
Siege of Belgrade (Nándorfehérvár);1456;125000
Battle of Ramillies;1706;122000
Battle of Hohenfriedberg;1745;121000
The Night Attack;1462;120000
Battle of Mohács;1526;120000
Battle of Mohács (1687);1687;120000
Battle of Larga;1770;118000
Battle of Kunersdorf;1759;116000
Battle of Pozzolo;1800;116000
Battle of Hohenlinden;1800;113960
Battle of Antukyah;1531;113100
"Invasion of Shikoku &amp; Siege of Ichinomiya";1585;113000
Battle of Hochkirch;1758;113000
Battle of Breslau;1757;112000
Battle of Vítkov Hill;1420;112000
Battle of Chaldiran;1514;110000
Battle of Blenheim;1704;108000
Battle of Seneffe;1674;106200
Battle of Piacenza (1746);1746;105980
Battle of Liegnitz;1760;105000
Battle of the Cosmin Forest;1497;105000
Battle of Torgau;1760;103400
Battle of Kay;1759;103000
Battle of Leuthen;1757;102000
Battle of Fontenoy;1745;102000
Siege of Groenlo;1672;100600
Battle of Gross-Jägersdorf;1757;100500
Battle of Denain;1712;100000
Battle of Oudenarde;1708;100000
Battle of Aldenhoven (1794);1794;99000
Battle of Alcácer Quibir;1578;98000
Battle of St. Quentin;1557;96000
Siege of Kawagoe Castle;1545;96000
Battle of Hastenbeck;1757;95000
Battle of Aussig;1426;94000
The Second Siege of Jinju;1593;90000
Battle of Höchstädt;1800;90000
Battle of Guastalla;1734;89000
Siege of Rhodes;1480;89000
Battle of Varna;1444;88000
Battle of Novi (1799);1799;87638
Battle of Kutná Hora;1421;87000
Siege of Turin;1706;85700
Battle of Kolín;1757;85000
Battle of Neerwinden;1793;85000
First Siege of Ulsan;1597;84500
Battle of Minden;1759;81000
Battle of Chungju (Choryang Pass);1592;80000
Battle of Turckheim;1675;80000
Battle of the Vedrosha River;1500;80000
Battle of Zorndorf;1758;79500
Battle of Krefeld;1758;79000
Second Battle of Kosovo;1448;77000
Battle of Shizugatake;1583;77000
First Battle of Breitenfeld;1631;76300
Battle of Poltava;1709;76100
Siege of Shkodra;1474;75000
Battle of Minatogawa;1336;75000
Battle of Fleurus;1690;73000
Battle of Preveza;1538;72000
La Noche Triste ("The Night of Sorrows");1520;71000
Battle of Chudnov (Cudnów);1660;70000
Safavid Ghilzai War;1729;70000
Battle of Burkersdorf;1762;70000
First Battle of Zurich;1799;70000
Battle of Wattignies;1793;67400
Battle of Kesselsdorf;1745;67000
Siege of Namwon;1597;66800
Battle of Tedorigawa;1577;66000
The Battle of Valmy;1792;66000
Battle of Alkmaar;1799;65000
Siege of Odawara;1569;65000
Battle of Khotyn;1673;65000
Battle of Orsha;1514;65000
Battle of Schooneveld;1673;64057
Battle of Hondschoote;1793;64000
Battle of Rossbach;1757;64000
Battle of Verdun (1792);1792;63500
Battle of Bergen;1759;63000
Battle of Plassey;1757;62850
Battle of Soor;1745;62700
Battle of Kaiserslautern;1793;62000
Battle of Marignano;1515;60900
Battle of Ollantaytambo;1537;60000
The Battle of Würzburg;1796;60000
Battle of the Boyne;1690;59500
Battle of Dettingen;1743;59000
Battle of Komaki and Nagakute;1584;58500
Battle of Towton;1461;58500
Battle of Flodden;1513;58000
Battle of Warsaw;1656;58000
Battle of Chotusitz;1742;58000
Battle of Neuwied (1797);1797;57500
Battle of Jemappes;1792;56000
Battle of Lobositz;1756;56000
Battle of Castiglione;1796;55000
Battle of Marengo;1800;55000
Siege of Padua;1509;55000
Battle of La Roche-l'Abeille;1569;54500
Siege of Toulon;1793;54000
Siege of Acre;1799;53000
Battle of Castricum;1799;52100
Battle of Bergen;1799;52000
Battle of Holowczyn;1708;51500
Battle of Jodoigne;1568;51500
Battle of Kosovo;1389;51500
Battle of Madonna dell'Olmo;1744;51000
Battle of Rivoli;1797;51000
Battle of Maritsa;1371;50800
Battle of Halmyros;1311;50400
Battle of Cuzco (1533);1533;50360
First Battle of Panipat;1526;50000
Battle of Torches;1583;50000
Siege of Maastricht;1632;50000
Battle of Rocroi;1643;50000
Persian Expedition of 1796;1796;50000
Second Battle of Boulou;1794;50000
Battle of Saragossa;1710;50000
Battle of Trebbia (1799);1799;50000
Battle of Narva;1700;49000
Battle of Krabbendam;1799;48000
Battle of Pločnik;1385;48000
Battle of Buxar;1764;47072
Battle of Almansa;1707;47000
Wars of the Three Kingdoms;1651;47000
Battle of Pinkie Cleugh;1547;46800
Battle of Pavia;1525;46500
Battle of Grunwald;1410;46500
Siege of Maastricht;1673;46200
Battle of Moncontour;1569;46000
Battle of Almenar;1710;46000
Battle of the Pyramids;1798;45000
Siege of Ishiyama Hongan-ji;1570;45000
Battle of Ceuta;1415;45000
Battle of Sacheon;1598;44700
Battle of Mühlberg;1547;44500
Battle of Arcole;1796;44000
Battle of Torroella;1694;44000
Battle of Gembloux;1578;43200
Battle of Yamazaki;1582;43000
Great Siege of Malta;1565;43000
Battle of Höchst;1622;43000
Battle of Dobrynichi;1605;43000
Battle of Bicocca;1522;43000
Battle of Lesnaya;1708;43000
Battle of Loano;1795;43000
Battle of Montes Claros;1665;42600
Battle of Krtsanisi;1795;42500
Siege of Groenlo;1627;42300
Battle of White Mountain;1620;42000
Battle of the Solent;1545;42000
Battle of Meissen;1759;42000
