BattleYear;Infantry;Cavalry;Artillery;Navy
1300;64500;13400;12;90
1320;48200;4000;NULL;53
1340;98120;300;NULL;701
1360;241000;8000;NULL;60
1380;159800;4800;NULL;NULL
1400;173800;2200;NULL;NULL
1420;326300;179250;620;178
1440;152000;42000;70;620
1460;390400;9660;500;104
1480;137000;12500;28;130
1500;401300;15200;1418;772
1520;1000706;291482;986;2322
1540;884426;55420;635;310
1560;981950;77940;988;2980
1580;1028100;17800;654;178340
1600;163750;19458;339;131
1620;1031230;178250;5944;960
1640;598845;328963;1154;679
1660;721507;165600;13835;2322
1680;136340;48012;3472;911
1700;1379751;169440;2759;416
1720;146000;2500;250;NULL
1740;1394995;100000;11681;435
1760;503887;412730;4798;336
1780;910708;105764;4111;1094
1800;176060;51860;774;NULL
1860;NULL;NULL;NULL;NULL
