Name;Year;TotalLosses
Siege of Kazan;1552;255000
Siege of Tenochtitlan;1521;220400
Battle of Molodi;1572;105000
Battle of Vienna;1683;81500
Battle of Marj Dabiq;1516;72000
Battle of Ankara;1402;70000
Battle of Keresztes;1596;65000
Third Battle of Panipat;1761;65000
The Second Siege of Jinju;1593;60000
Battle of Khotyn;1621;56500
Battle of Chungju (Choryang Pass);1592;50000
Battle of Kunersdorf;1759;49574
Battle of Sarhu;1619;47000
Battle of Blenheim;1704;46674
Battle of Berestechko;1651;35700
Battle of Varna;1444;35000
Battle of Petrovaradin;1716;35000
Battle of Chudnov (Cudnów);1660;34900
Battle of Grunwald;1410;34800
Fall of Constantinople;1453;34000
Battle of Zenta
(Battle of Senta);1697;32027
Battle of Malplaquet;1709;32000
Battle of Krtsanisi;1795;32000
Battle of Narva;1700;30914
Battle of Prague;1757;30800
Battle of Zorndorf;1758;30800
Battle of Khotyn;1673;30000
Battle of Sacheon;1598;30000
Battle of Torgau;1760;28367
Battle of Leuthen;1757;28344
Battle of Towton;1461;28000
Siege of Szigetvár
Battle of Szigeth;1566;27500
Battle of Seneffe;1674;27000
Siege of Rhodes;1522;26000
Battle of Fleurus;1690;25000
Battle of Sekigahara;1600;25000
Battle of Tennōji;1615;24000
Siege of Rhodes;1480;24000
Battle of Alcácer Quibir;1578;23000
Battle of Ramillies;1706;22663
First Battle of Breitenfeld;1631;22150
Battle of Kolín;1757;22000
Sack of Magdeburg;1631;21900
Battle of Kay;1759;21600
Battle of Cahul;1770;21250
First Siege of Ulsan;1597;21120
Battle of Almansa;1707;20500
Battle of the Pyramids;1798;20289
Battle of Trebbia (1799);1799;20250
Battle of Cartagena de Indias;1741;20000
Siege of Mount Hiei;1571;20000
Battle of Lepanto;1571;20000
The Night Attack;1462;20000
Battle of Kulikovo;1380;20000
Battle of Novi (1799);1799;19750
Battle of Marengo;1800;19600
Battle of Lubiszewo;1577;19028
Battle of Breitenfeld;1642;19000
Battle of Djerba;1560;19000
Battle of Mohács;1526;18500
Battle of Sluys;1340;18500
Battle of Fontenoy;1745;18500
Battle of Steenkerque;1692;18000
Battle of Buxar;1764;17847
Battle of Praga;1794;17540
First Battle of Panipat;1526;17500
Battle of Ravenna;1512;17500
Battle of Rivoli;1797;17100
Siege of Shkodra;1474;17000
Second Battle of Kosovo;1448;17000
Battle of Oudenarde;1708;17000
Battle of Hochkirch;1758;16700
Battle of Lauffeld;1747;16700
Battle of Fraustadt;1706;16406
Battle of Piacenza (1746);1746;16400
Battle of Wimpfen;1622;16150
Battle of Hohenlinden;1800;16050
Second Battle of Zurich;1799;16000
Battle of Marignano;1515;16000
Battle of Breadfield;1479;16000
Battle of Kircholm;1605;15900
Battle of Kesselsdorf;1745;15600
Safavid Ghilzai War;1729;15500
Battle of Pavia;1525;15500
Battle of Larga;1770;15100
Battle of Chotusitz;1742;15007
Siege of Vienna;1529;15000
Battle of Maxen;1759;14675
Siege of Kawagoe Castle;1545;14500
Battle of Nagashino;1575;14500
Battle of Poltava;1709;14435
Battle of Nájera (Navarrete);1367;14200
Battle of Lund;1676;14070
Battle of Stadtlohn;1623;14000
Siege of Breda;1624;14000
Battle of Baia;1467;14000
Battle of Saragossa;1710;14000
Battle of Stockach and Engen (1800);1800;14000
Battle of Hohenfriedberg;1745;13730
Battle of Lesnaya;1708;13500
Battle of Ivry;1590;13500
Wars of the Three Kingdoms;1651;13200
Siege of Turin;1706;13046
Battle of Schellenberg;1704;13041
Siege of Belgrade (Nándorfehérvár);1456;13000
Battle of Ridaniya;1517;13000
Battle of Pločnik;1385;13000
Battle of Landeshut;1760;13000
Battle of Gravelines;1558;12800
Battle of Montes Claros;1665;12700
Battle of Pozzolo;1800;12589
Battle of Neuwied (1797);1797;12500
Battle of Flodden;1513;12500
Battle of Pinkie Cleugh;1547;12400
Battle of the Lines of Elvas;1659;12098
Siege of Groningen;1672;12000
Battle of Liegnitz;1760;11931
Battle of Chesma;1770;11574
Battle of Lens;1648;11500
Battle of Guastalla;1734;11400
Battle of Soor;1745;11355
Siege of Jinju;1592;11300
Battle of Preston;1648;11100
Battle of Rocroi;1643;11000
Battle of Cassel;1677;11000
Siege of Namur (1692);1692;11000
Battle of Aughrim;1691;11000
Battle of St. Quentin;1557;11000
Battle of Rocoux;1746;11000
Battle of Breslau;1757;11000
Battle of Arcole;1796;11000
Battle of Helsingborg;1710;10672
Battle of Ceresole;1544;10650
Battle of Agincourt;1415;10612
Battle of Mohács (1687);1687;10600
Battle of Rossbach;1757;10548
Battle of Gembloux;1578;10520
Battle of Jankau;1645;10500
Battle on the Po;1431;10500
Battle of Gross-Jägersdorf;1757;10400
Siege of Bergen op Zoom;1747;10259
Battle of Wittstock;1636;10100
Battle of Cassel;1328;10017
Great Siege of Malta;1565;10000
Battle of Freiburg;1644;10000
Battle of Grocka;1739;10000
Battle of Loano;1795;10000
Battle of Fleurus;1794;10000
Battle of Minden;1759;9762
Battle of Bannockburn;1314;9700
Battle of Dunbar (1650);1650;9578
Battle of Mollwitz;1741;9400
Battle of the Saintes;1782;9059
Battle of Obertyn;1531;9002
Battle of Novara;1513;9000
Battle of Lutter;1626;8700
Battle of Denain;1712;8566
Siege of Yorktown;1781;8549
Battle of Tourcoing;1794;8500
Battle of Sisak;1593;8500
Battle of Dreux;1562;8500
Battle of Krbava Field;1493;8500
Battle of La Rochelle;1372;8400
Battle of Abukir (1799);1799;8320
Glorious First of June;1794;8200
Battle of Mühlberg;1547;8200
Siege of Haengju Fortress;1593;8130
Battle of Friedlingen;1702;8046
Battle of Morat;1476;8000
Battle of the Vedrosha River;1500;8000
Battle of Saint-Omer;1340;8000
Battle of Verneuil;1424;8000
Battle of Gadebusch;1712;7850
Battle of the Nile;1798;7845
Battle of Wattignies;1793;7744
Battles of Saratoga;1777;7687
Battle of Honnecourt;1642;7600
Four Days' Battle;1666;7550
Battle of Neerwinden;1793;7400
Battle of Jemmingen;1568;7300
Battle of Montebello;1800;7275
Battle of Madonna dell'Olmo;1744;7100
Battle of Dupplin Moor;1332;7033
Battle of Cajamarca;1532;7004
Fourth Battle of Kawanakajima;1561;7000
Battle of Saint-Denis;1678;7000
Battle of Höchstädt;1800;7000
Battle of Hondschoote;1793;7000
Battle of Gemauerthof;1705;6800
Battle of Parabiago;1339;6800
Battle of Barfleur–La Hougue;1692;6700
Battle of Pollilur;1780;6600
Battle of Villinghausen;1761;6400
Battle of the Dunes;1658;6400
Battle of Naseby;1645;6400
Battle of Yamazaki;1582;6300
Battle of Fleurus;1622;6200
Battle of Villafranca;1744;6150
Battle of Kallo;1638;6085
Battle of Bergen;1799;6010
Siege of Toulon;1793;6000
Battle of Meissen;1759;6000
Siege of Maastricht;1673;6000
Siege of Orléans;1428;6000
Battle of Kutná Hora;1421;6000
Battle of Aljubarrota;1385;6000
Second Battle of St Albans;1461;6000
Battle of Marston Moor;1644;5800
Siege of Charleston;1780;5764
Battle of Lobositz;1756;5726
Battle of Polonka;1660;5700
Siege of Haarlem;1572;5700
Warsaw Uprising of 1794;1794;5694
Battle of Assietta;1747;5599
Battle of Castagnaro;1387;5500
Battle of Isokyro;1714;5466
Battle of Formigny;1450;5400
Battle of Klushino;1610;5400
Battle of Holowczyn;1708;5293
Battle of Brihuega;1710;5200
Battle of Krefeld;1758;5200
Battle of Alkmaar;1799;5200
First Battle of Zurich;1799;5200
Battle of Nieuwpoort;1600;5100
The Siege of Busan Castle;1592;5000
Battle of Lützen;1632;5000
Battle of Rain or Battle of Lech
or
Battle of the River Lech;1632;5000
Battle of Mbwila;1665;5000
Battle of the Cosmin Forest;1497;5000
La Noche Triste ("The Night of Sorrows");1520;5000
Battle of Shrewsbury;1403;5000
Battle of Caen;1346;5000
Battle of Villaviciosa;1710;5000
Battle of Garigliano;1503;4900
Battle of Lowestoft;1665;4900
Battle of Klissow;1702;4800
Battle of Brustem;1467;4800
Battle of Bitonto;1734;4795
Battle of White Mountain;1620;4700
Battle of Methven;1306;4600
Battle of Poitiers;1356;4500
Ottoman siege of Thessalonica;1422;4500
Battle of Alfarrobeira;1449;4500
Battle of La Motta;1513;4500
Battle of Alcântara;1580;4500
Siege of Malmö;1677;4500
Battle of Kilsyth;1645;4500
Siege of Acre;1799;4500
The Battle of Würzburg;1796;4500
Battle of Almenar;1710;4400
Battle of Wijnendale;1708;4400
Battle of Landskrona;1677;4300
Battle of Płowce
Part of Polish-Teutonic War (1326–1332);1331;4300
Battle of Castiglione;1796;4250
Battle of Preveza;1538;4200
Battle of Gibraltar;1607;4160
Battle of Byeokjegwan;1593;4120
Battle of Mimasetōge;1569;4100
Siege of Hulst;1645;4100
Battle of Castillon;1453;4100
Battle of Burkersdorf;1762;4100
Battle of Hummelshof;1702;4090
Battle of Domstadtl (Domašov);1758;4050
Battle of Bassano;1796;4000
Battle of Maciejowice;1794;4000
Final Battle of Saraighat;1671;4000
Battle of Knocknanuss;1647;4000
Battle of Edgehill;1642;4000
Battle of Saint Gotthard;1664;4000
Battle of Warsaw;1656;4000
Battle of Agnadello;1509;4000
Battle of Hemmingstedt;1500;4000
Battle of Aussig;1426;4000
Battle of Bergen;1759;3985
Battle of Castricum;1799;3918
Battle of Casteldelfino;1744;3900
Second Battle of Boulou;1794;3820
Battle of Aldenhoven (1794);1794;3800
Battle of Jüterbog;1644;3600
Siege of Pilsen;1618;3600
Battle of Kaiserslautern;1793;3550
Battle of Rathmines;1649;3500
Battle of Torroella;1694;3500
Battle of Ardnocher;1329;3500
Battle of Chojnice;1454;3400
Battle of Moys;1757;3300
Battle of Carillon;1758;3250
Battle of Fornovo;1495;3200
Battle of Brouwershaven;1426;3200
Battle of St.Fagans;1648;3200
Battle of Mookerheyde;1574;3150
Battle of Stoke Field;1487;3150
Battle of Lodi;1796;3036
Battle of Jodoigne;1568;3020
Battle of Byczyna (Pitschen);1588;3000
Battle of Dungans Hill;1647;3000
Battle of Kombi;1647;3000
Battle of Texel;1673;3000
Battle of the Spurs;1513;3000
Battle of Blore Heath;1459;3000
Battle of Ferrybridge;1461;3000
Battle of Bicocca;1522;3000
Second Battle of Athenry;1316;3000
Battle of Zieleńce;1792;3000
Battle of Scheveningen;1653;2950
Battle of Mabila;1540;2900
Battle of Quiberon Bay;1759;2900
Battle of Benburb;1646;2800
Battle of Warburg;1760;2700
Battle of Turnhout;1597;2635
Battle of Cape St. Vincent;1780;2634
Battle of New Ross (1798);1798;2630
Battle of Albrolhos (1631);1631;2600
Siege of Fort Zeelandia
(1661–1662);1661;2600
Battle of Patay;1429;2600
Battle of Mingolsheim;1622;2550
Battle of Hastenbeck;1757;2501
Battle of Dettingen;1743;2500
Battle of Verdun (1792);1792;2500
Siege of Leiden;1573;2500
Crossing of the Düna;1701;2500
Battle of Montenotte;1796;2478
Siege of Fort William Henry;1757;2438
Siege of 's-Hertogenbosch;1629;2400
Battle of Long Island;1776;2357
Battle of Prestonpans;1745;2300
Battle of the Boyne;1690;2250
Battle of Culloden;1746;2213
Battle of Camden;1780;2213
Battle of San Lorenzo de la Muga;1794;2200
Battle of Mondovì;1796;2200
Battle of Borgo;1768;2200
Battle of Vigo Bay;1702;2200
Battle of Sedgemoor;1685;2200
Battle of Crécy;1346;2200
Battle of Leuze;1691;2150
Siege of Breda (1637);1637;2150
Battle of Sablat;1619;2150
Persian Expedition of 1796;1796;2150
Battle of Höchst;1622;2100
Battle of Warsaw;1705;2100
Battle of Górzno;1629;2090
Battle of Krabbendam;1799;2060
Battle of Heiligerlee (1568);1568;2050
Recapture of Bahia;1625;2047
Battle of Coutras;1587;2040
Battle of Grenada;1779;2004
Battle of Dahlen;1568;2000
Capture of Cadiz;1596;2000
Battle of Zusmarshausen;1648;2000
Battle of Blanchetaque;1346;2000
Battle of Visby;1361;2000
Battle of Auray;1364;2000
Battle of Cascina;1364;2000
Battle of Otterburn;1388;2000
Battle of Brunkeberg;1471;2000
