Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Battle of Chesma;1770;1;1300;11000;8.4615384615384615384
Battle of Ankara;1402;1;6000;50000;8.3333333333333333333
Siege of Kazan;1552;1;40000;255000;6.3750000000000000000
Battle of Krtsanisi;1795;0;5000;19000;3.8000000000000000000
Battle of Caen;1346;1;1500;5000;3.3333333333333333333
Fall of Constantinople;1453;0;12000;34000;2.8333333333333333333
Battle of Cajamarca;1532;1;4000;7000;1.7500000000000000000
Battle of Picotin;1316;1;700;1200;1.7142857142857142857
Battle of Fort Oswego;1756;1;1100;1820;1.6545454545454545454
Great Siege of Malta;1565;1;7000;10000;1.4285714285714285714
Battle of Alcácer Quibir;1578;0;18000;23000;1.2777777777777777777
Battle of Preston;1648;1;9000;11000;1.2222222222222222222
Battle of Pollilur;1780;0;5500;6600;1.2000000000000000000
Battle of Grunwald;1410;1;19000;22300;1.1736842105263157894
Battle of Mabila;1540;1;2500;2700;1.0800000000000000000
Battle of Towton;1461;0;26000;28000;1.0769230769230769230
Battles of Saratoga;1777;1;7000;7357;1.0510000000000000000
Battle of Groton Heights;1781;0;140;145;1.0357142857142857142
Battle of Kings Mountain;1780;1;1100;1121;1.0190909090909090909
Battle of Cowpens;1781;1;1150;1168;1.0156521739130434782
Battle of Germantown;1777;0;1100;1111;1.0100000000000000000
Siege of Charleston;1780;1;5466;5506;1.0073179656055616538
Capture of Fort Ticonderoga;1775;1;78;78;1.0000000000000000000
Battle of the Thousand Islands;1760;1;300;300;1.0000000000000000000
Siege of Szigetvár
Battle of Szigeth;1566;0;2500;2500;1.0000000000000000000
Battle of Fort Necessity;1754;0;400;400;1.0000000000000000000
Battle of Gangut;1714;0;941;941;1.0000000000000000000
Battle of Fort Bull;1756;1;111;111;1.0000000000000000000
Battle of Casteldelfino;1744;1;2000;2000;1.0000000000000000000
Battle of Brihuega;1710;0;4000;4000;1.0000000000000000000
Battle of Millesimo;1796;1;988;988;1.0000000000000000000
Siege of Fort St. Jean;1775;1;750;743;0.9906666666666666666
Battle of the Shirts
(Blàr na Léine, Kinloch-Lochy);1544;1;500;492;0.9840000000000000000
Battle of the Shirts
(Blàr na Léine, Kinloch-Lochy);1544;0;300;295;0.9833333333333333333
Siege of Fort William Henry;1757;1;2500;2438;0.9752000000000000000
Siege of Maastricht;1673;1;6200;6000;0.9677419354838709677
Battle of the North Inch;1396;1;30;29;0.9666666666666666666
Battle of Chudnov (Cudnów);1660;1;30000;28700;0.9566666666666666666
Battle of Prestonpans;1745;0;2300;2200;0.9565217391304347826
Battle of Praga;1794;0;17000;16000;0.9411764705882352941
Battle of Kringen;1612;0;300;280;0.9333333333333333333
Siege of Hulst;1645;1;2750;2500;0.9090909090909090909
Siege of Yorktown;1781;1;9000;8160;0.9066666666666666666
Battle of Marj Dabiq;1516;1;80000;72000;0.9000000000000000000
Battle of Breadfield;1479;1;14500;13000;0.8965517241379310344
Battle of the Wabash;1791;1;1000;896;0.8960000000000000000
Battle of Gravelines;1558;0;14000;12500;0.8928571428571428571
Battle of Methven;1306;0;4500;4000;0.8888888888888888888
Battle of Three Rocks;1798;1;100;88;0.8800000000000000000
Battle of Stadtlohn;1623;0;15000;13000;0.8666666666666666666
Battle of Khotyn;1673;1;35000;30000;0.8571428571428571428
Battle of Lubiszewo;1577;0;11000;9420;0.8563636363636363636
Battle of Lubiszewo;1577;1;11000;9420;0.8563636363636363636
Battle of Visby;1361;1;2000;1700;0.8500000000000000000
Battle of Ivry;1590;1;16000;13500;0.8437500000000000000
Siege of Fort Zeelandia
(1661–1662);1661;1;1900;1600;0.8421052631578947368
Battle of Landeshut;1760;0;12000;10000;0.8333333333333333333
Battle of Molodi;1572;0;120000;100000;0.8333333333333333333
Battle of Carlow;1798;0;1200;1000;0.8333333333333333333
