Name;Liczba bitew
American Revolutionary War;75
Sengoku period;64
Hundred Years' War;37
Seven Years' War;34
Eighty Years' War;33
French Revolutionary Wars;26
Thirty Years' War;26
Ottoman wars in Europe;21
United Irishmen Rebellion (1798);18
Wars of the Roses;18
War of the Spanish Succession;17
War of the Austrian Succession;17
Great Northern War;17
Japanese invasions of Korea;16
French and Indian War;16
Dutch-Portuguese War;15
Franco–Dutch War;14
Nine Years' War;13
English Civil War;12
Abyssinian– Adal war;9
Hussite Wars;9
War of the League of Cambrai;9
The Second Coalition;9
Scanian War;8
Wars of the Three Kingdoms;8
Spanish conquest of the Inca Empire;7
Scottish clan;6
Second Anglo-Dutch War;5
Second Northern War;5
War of the Breton Succession;5
Polish–Swedish War;5
Kościuszko Uprising;5
Anglo-Scottish Wars;5
Byzantine–Ottoman Wars;5
First Anglo-Dutch War;5
Burgundian Wars;4
Egyptian Campaign;4
First War of Scottish Independence;4
Anglo-Russian Invasion of Holland;4
Irish Confederate Wars or
Eleven Years' War;4
Italian War of 1551–1559;4
Great Turkish War;4
Polish–Russian War of 1605–1618;4
Second English Civil War;4
The forty-five rebellion;3
Thirteen Years' War (1454–66);3
War of the Polish Succession;3
Ottoman-Mamluk War
(1516–1517);3
Reconquista;3
Ottoman–Habsburg wars;3
Glyndŵr Rising;3
Apache-Mexico Wars;3
1383–1385 Crisis;3
Bruce campaign in Ireland;3
Wars in Lombardy;3
War of the Pyrenees;2
Williamite–Jacobite War in Ireland;2
War of the First Coalition;2
Fourth Anglo-Dutch War;2
Despenser War;2
Franco-Flemish War;2
Franco–Spanish War;2
Byzantine civil war of 1341–1347;2
Growth of the Old Swiss Confederacy;2
Italian War of 1521–26;2
Italian War of 1542–46;2
Long War
Fifteen Years' War of Hungary;2
Moldavian–Ottoman Wars;2
Nanboku-chō period;2
French Revolution;2
Ottoman–Hungarian Wars;2
Northwest Indian War;2
Ottoman–Safavid War of 1578–1590;2
Polish–Lithuanian–Teutonic War;2
Russo-Polish War (1654–1667);2
Portuguese Restoration War;2
War of the League of Cognac;2
War of Jenkins' Ear;2
The Jacobite Rising of 1715;2
Second War of Scottish Independence;2
Spanish conquest of the Aztec Empire;2
Second Ottoman–Venetian War;1
The Deluge;1
The First Castilian Civil War;1
Second Italian War;1
Second Anglo–Mysore War;1
Siege of Osaka;1
Sino-Dutch conflicts;1
Spanish colonization of the Americas;1
War of the Castilian Succession;1
War of the Portuguese Succession;1
Third Ottoman–Venetian War;1
War against Sigismund;1
Timurid Civil Wars;1
Travancore–Dutch War;1
Turkmen invasions of Georgia;1
Portuguese–Mamluk naval war;1
Qing conquest of the Ming;1
Queen Anne's War;1
Ottoman–Persian Wars;1
Polish–Russian War of 1792;1
Russo-Turkish War (1768–1774);1
Russo–Turkish War of 1735–1739
Austro–Turkish War of 1737–1739;1
Schmalkaldic War;1
Scotland in the Wars of the Three Kingdoms;1
Russo-Kazan Wars;1
Russo-Persian Wars;1
Polish–Swedish wars;1
Pontiac's War
Pontiac's Rebellion;1
Polish–Ottoman War (1485–1503);1
Polish–Ottoman War (1672–1676);1
Polish–Ottoman Wars;1
Owain Glyndŵr;1
Peasant revolt in Flanders 1323–28;1
Peasants' Revolt;1
Persian Empire;1
Ottoman Empire;1
Monmouth Rebellion;1
Moroccan–Portuguese conflicts;1
Mughal Empire;1
Muscovite–Lithuanian Wars;1
Lord Dunmore's War;1
Marian Civil War;1
Moldavian Magnate Wars;1
List of Mongol and Tatar raids against Rus';1
List of Serbian–Turkish conflicts;1
Loire Campaign;1
Kalmar War;1
Khmelnytsky Uprising;1
King Philip's War;1
King William's War;1
Italian Wars;1
Jacobite risings;1
Jacquerie;1
Guelphs and Ghibellines;1
Hawkesbury and Nepean Wars;1
French Wars of Religion;1
German Peasants' War;1
Glorious Revolution;1
Edo period;1
First Italian War;1
Frankokratia;1
Fourth Ottoman–Venetian War;1
Anglo-Spanish War;1
Anglo–Spanish War (1762–1763);1
Crusade of Varna;1
Dano-Swedish War;1
Danzig rebellion;1
Austro–Turkish War of 1663–64;1
Austro-Turkish War of 1716–18;1
Battle of Posada;1
Battles involving the Maratha Empire;1
Brabant Revolution;1
Ahom–Mughal conflicts;1
American Civil War;1
War of the Regulation;1
Wars of Liège;1
